expression,organism_name
 human,Homo sapiens
 mouse,Mus musculus
 rat,Rattus norvegicus
 Arabidopsis,Arabidopsis thaliana
 Drosophila,Drosophila melanogaster
 Anopheles gambiae,Anopheles gambiae
 zebrafish,Danio rerio
 C elegans,Caenorhabditis elegans
HeLa,Homo sapiens
CCLE,Homo sapiens
Human,Homo sapiens
Humans,Homo sapiens
HEK293T,Homo sapiens
293T,Homo sapiens
K562,Homo sapiens
HEK,Homo sapiens
HL-60,Homo sapiens
hiPSC,Homo sapiens
CNE1,Homo sapiens
A549,Homo sapiens
hPSC,Homo sapiens
hPSCs,Homo sapiens
THP-1,Homo sapiens
NOMO-1,Homo sapiens
U251,Homo sapiens
MCF10A,Homo sapiens
AGP01,Homo sapiens
Flp-InT-REx-293,Homo sapiens
CRL-11268,Homo sapiens
MDA-MB-231,Homo sapiens
Ishikawa-PR,Homo sapiens
LO2,Homo sapiens
C57BL/6,Mus musculus
C57BL/6J-Ly5.1,Mus musculus
C57Bl6/J,Mus musculus
C57BL/6J,Mus musculus
MEFs,Mus musculus
mES,Mus musculus
NCBI37/mm9,Mus musculus
C3H/10T1/2,Mus musculus
NIH/3T3,Mus musculus
IMCD3,Mus musculus
zebrafish,Danio rerio
Zebrafish,Danio rerio
AB,Danio rerio
HCT116,Homo sapiens
HEK293,Homo sapiens
OVCAR8,Homo sapiens
Eca109,Homo sapiens
Jurkat,Homo sapiens
CNE-2,Homo sapiens
H1299,Homo sapiens
A18945,Homo sapiens
Sprague-Dawlay,Rattus norvegicus
Sprague-Dawley,Rattus norvegicus
Rat,Rattus norvegicus
rats,Rattus norvegicus
McArdle-RH7777,Rattus norvegicus
PC12,Rattus norvegicus
F344,Rattus norvegicus
albicans,Candida albicans
reinhardtii,Chlamydomonas reinhardtii
Col-0,Arabidopsis thaliana
Arabidopsis,Arabidopsis thaliana
soybean,Glycine max
soya bean,Glycine max
CB4856,Caenorhabditis elegans
LSJ2,Caenorhabditis elegans
qgIR1,Caenorhabditis elegans
CX12311,Caenorhabditis elegans
MT13649,Caenorhabditis elegans
RW3625,Caenorhabditis elegans
TR2171,Caenorhabditis elegans
N2 (Bristol,Caenorhabditis elegans
GE24 pha-1,Caenorhabditis elegans
C. elegans,Caenorhabditis elegans
Worm,Caenorhabditis elegans
NGM,Caenorhabditis elegans
FX30236,Caenorhabditis elegans
BmN-SWU1,Bombyx mori
Nistari,Bombyx mori
silkworm,Bombyx mori
drosophila,Drosophila melanogaster
Drosophila,Drosophila melanogaster
chicken,Gallus gallus
DF-1,Gallus gallus
UMNSAH,Gallus gallus
Japonica rice,Oryza sativa Japonica Group
rice,Oryza sativa Japonica Group
wheat,Triticum aestivum
braziliensis,Leishmania braziliensis
bassiana,Beauveria bassiana
PK-15,Sus scrofa
Pig,Sus scrofa
pig,Sus scrofa
piglets,Sus scrofa
W303,Saccharomyces cerevisiae
BY4742,Saccharomyces cerevisiae
Nipponbare,Oryza sativa Japonica Group
Taipei309,Oryza sativa Japonica Group
MAC-T,Bos taurus
Gossypium,Gossypium hirsutum
jejuni,Campylobacter jejuni
gambiae,Anopheles gambiae
COS-M6,Chlorocebus aethiops
tropicalis,Xenopus tropicalis
aequinoctialis,Lemna aequinoctialis
Human papillomavirus type 16,Human papillomavirus type 16
hepatitis B virus,hepatitis B virus
dog,Canis lupus familiaris
