organism_name,taxid
Anopheles gambiae,7165
Apis mellifera,7460
Arabidopsis thaliana,3702
Arachis hypogaea,3818
Bombyx mori,7091
Bos taurus,9913
Brassica napus,3708
Brassica rapa,3711
Caenorhabditis elegans,6239
Callithrix jacchus,9483
Canis lupus familiaris,9615
Capra hircus,9925
Citrus sinensis,2711
Cucumis melo,3656
Danio rerio,7955
Drosophila melanogaster,7227
Felis catus,9685
Gallus gallus,9031
Glycine max,3847
Gossypium hirsutum,3635
Homo sapiens,9606
Hordeum vulgare,4513
Ictalurus punctatus,7998
Lentinula edodes,5353
Manihot esculenta,3983
Mesocricetus auratus,10036
Mus musculus,10090
Nicotiana tabacum,4097
Oryctolagus cuniculus,9986
Oryza sativa,4530
Ovis aries,9940
Rattus norvegicus,10116
Solanum lycopersicum,4081
Solanum tuberosum,4113
Sus scrofa,9823
Triticum aestivum,4565
Xenopus tropicalis,8364
