,species
0,Homo sapiens
1,Mus musculus
2,Danio rerio
3,Drosophila melanogaster
4,Rattus norvegicus
5,Arabidopsis thaliana
6,Sus scrofa
7,Caenorhabditis elegans
8,Oryza sativa
9,Oryza L.
10,Achromobacter sp. ATCC 35328
11,Saccharomyces cerevisiae S288C
12,Solanum lycopersicum
13,Micrococcus scarlatinae Klein 1884
14,Gallus gallus
15,Bos taurus
16,Oryctolagus cuniculus
17,Glycine max
18,2019-nCoV
19,Bombyx mori
20,Homo sapiens
21,Mus musculus
22,Danio rerio
23,Drosophila melanogaster
24,Rattus norvegicus
25,Arabidopsis thaliana
26,Sus scrofa
27,Caenorhabditis elegans
28,Oryza sativa
29,Oryza L.
30,Achromobacter sp. ATCC 35328
31,Saccharomyces cerevisiae S288C
32,Solanum lycopersicum
33,Micrococcus scarlatinae Klein 1884
34,Gallus gallus
35,Bos taurus
36,Oryctolagus cuniculus
37,Glycine max
38,2019-nCoV
39,Bombyx mori
40,Homo sapiens
41,Mus musculus
42,Danio rerio
43,Drosophila melanogaster
44,Rattus norvegicus
45,Arabidopsis thaliana
46,Sus scrofa
47,Caenorhabditis elegans
48,Oryza sativa
49,Oryza L.
50,Achromobacter sp. ATCC 35328
51,Saccharomyces cerevisiae S288C
52,Solanum lycopersicum
53,Micrococcus scarlatinae Klein 1884
54,Gallus gallus
55,Bos taurus
56,Oryctolagus cuniculus
57,Glycine max
58,2019-nCoV
59,Bombyx mori
60,Homo sapiens
61,Mus musculus
62,Danio rerio
63,Drosophila melanogaster
64,Rattus norvegicus
65,Arabidopsis thaliana
66,Sus scrofa
67,Caenorhabditis elegans
68,Oryza sativa
69,Oryza L.
70,Achromobacter sp. ATCC 35328
71,Saccharomyces cerevisiae S288C
72,Solanum lycopersicum
73,Micrococcus scarlatinae Klein 1884
74,Gallus gallus
75,Bos taurus
76,Oryctolagus cuniculus
77,Glycine max
78,2019-nCoV
79,Bombyx mori
80,Homo sapiens
81,Mus musculus
82,Danio rerio
83,Drosophila melanogaster
84,Rattus norvegicus
85,Arabidopsis thaliana
86,Sus scrofa
87,Caenorhabditis elegans
88,Oryza sativa
89,Oryza L.
90,Achromobacter sp. ATCC 35328
91,Saccharomyces cerevisiae S288C
92,Solanum lycopersicum
93,Micrococcus scarlatinae Klein 1884
94,Gallus gallus
95,Bos taurus
96,Oryctolagus cuniculus
97,Glycine max
98,2019-nCoV
99,Bombyx mori
100,Homo sapiens
101,Mus musculus
102,Danio rerio
103,Drosophila melanogaster
104,Rattus norvegicus
105,Arabidopsis thaliana
106,Sus scrofa
107,Caenorhabditis elegans
108,Oryza sativa
109,Oryza L.
110,Achromobacter sp. ATCC 35328
111,Saccharomyces cerevisiae S288C
112,Solanum lycopersicum
113,Micrococcus scarlatinae Klein 1884
114,Gallus gallus
115,Bos taurus
116,Oryctolagus cuniculus
117,Glycine max
118,2019-nCoV
119,Bombyx mori
