organism_name,taxid
Anopheles gambiae,0
Apis mellifera,1
Arabidopsis thaliana,2
Arachis hypogaea,3
Bombyx mori,4
Bos taurus,5
Brassica napus,6
Brassica rapa,7
Caenorhabditis elegans,8
Callithrix jacchus,9
Canis lupus familiaris,10
Capra hircus,11
Citrus sinensis,12
Cucumis melo,13
Danio rerio,14
Drosophila melanogaster,15
Felis catus,16
Gallus gallus,17
Glycine max,18
Gossypium hirsutum,19
Homo sapiens,20
Hordeum vulgare,21
Ictalurus punctatus,22
Lentinula edodes,23
Manihot esculenta,24
Mesocricetus auratus,25
Mus musculus,26
Nicotiana tabacum,27
Oryctolagus cuniculus,28
Oryza sativa,29
Ovis aries,30
Rattus norvegicus,31
Solanum lycopersicum,32
Solanum tuberosum,33
Sus scrofa,34
Triticum aestivum,35
Xenopus tropicalis,36
