,species
0,Danio rerio
1,Homo sapiens
2,Mus musculus
3,Danio rerio
4,Homo sapiens
5,Homo sapiens
6,Mus musculus
7,Mus musculus
8,Homo sapiens
9,Danio rerio
10,Rattus norvegicus
11,Rattus norvegicus
12,Drosophila melanogaster
13,Homo sapiens
14,Sus scrofa
15,Sus scrofa
16,Sus scrofa
17,Xenopus tropicalis
18,Drosophila melanogaster
19,Glycine max
20,Mus musculus
21,Bombyx mori
22,Mus musculus
23,Arabidopsis thaliana
24,Oryctolagus cuniculus
25,Rattus norvegicus
26,Mesocricetus auratus
27,Canis lupus familiaris
28,Arabidopsis thaliana
29,Oryctolagus cuniculus
30,Bos taurus
31,Arabidopsis thaliana
32,Sus scrofa
33,Ovis aries
34,Homo sapiens
35,Arabidopsis thaliana
36,Caenorhabditis elegans
37,Nicotiana tabacum
38,Oryctolagus cuniculus
39,Gallus gallus
40,Ovis aries
41,Canis lupus familiaris
42,Capra hircus
43,Gallus gallus
44,Danio rerio
45,Rattus norvegicus
46,Bos taurus
47,Arabidopsis thaliana
48,Glycine max
49,Gallus gallus
50,Mesocricetus auratus
51,Gallus gallus
52,Solanum lycopersicum
53,Nicotiana tabacum
54,Xenopus tropicalis
55,Mesocricetus auratus
56,Oryza sativa
57,Arachis hypogaea
58,Brassica rapa
59,Triticum aestivum
60,Anopheles gambiae
61,Ovis aries
62,Rattus norvegicus
63,Arachis hypogaea
64,Bos taurus
65,Brassica napus
66,Mus musculus
67,Canis lupus familiaris
68,Citrus sinensis
69,Drosophila melanogaster
70,Glycine max
71,Gossypium hirsutum
72,Nicotiana tabacum
73,Oryza sativa
74,Solanum lycopersicum
75,Solanum tuberosum
76,Solanum tuberosum
77,Solanum lycopersicum
78,Canis lupus familiaris
79,Xenopus tropicalis
80,Bos taurus
81,Solanum lycopersicum
82,Nicotiana tabacum
83,Ictalurus punctatus
84,Hordeum vulgare
85,Hordeum vulgare
86,Glycine max
87,Ictalurus punctatus
88,Capra hircus
89,Oryza sativa
90,Caenorhabditis elegans
91,Manihot esculenta
92,Bombyx mori
93,Oryza sativa
94,Triticum aestivum
95,Ovis aries
96,Solanum tuberosum
97,Oryza sativa
98,Oryctolagus cuniculus
99,Felis catus
100,Arachis hypogaea
101,Bombyx mori
102,Solanum tuberosum
103,Triticum aestivum
104,Solanum lycopersicum
105,Drosophila melanogaster
106,Arachis hypogaea
107,Solanum tuberosum
108,Felis catus
109,Apis mellifera
110,Triticum aestivum
111,Bombyx mori
112,Brassica rapa
113,Sus scrofa
114,Ictalurus punctatus
115,Cucumis melo
116,Caenorhabditis elegans
117,Ovis aries
118,Capra hircus
119,Callithrix jacchus
120,Hordeum vulgare
121,Manihot esculenta
122,Lentinula edodes
123,Manihot esculenta
124,Citrus sinensis
125,Capra hircus
126,Callithrix jacchus
127,Caenorhabditis elegans
128,Brassica napus
129,Bos taurus
130,Bombyx mori
131,Felis catus
132,Xenopus tropicalis
133,Apis mellifera
134,Anopheles gambiae
135,Gallus gallus
136,Glycine max
137,Gossypium hirsutum
138,Hordeum vulgare
139,Ictalurus punctatus
140,Lentinula edodes
141,Cucumis melo
142,Mesocricetus auratus
143,Nicotiana tabacum
144,Mesocricetus auratus
145,Anopheles gambiae
146,Anopheles gambiae
147,Triticum aestivum
148,Lentinula edodes
149,Anopheles gambiae
150,Apis mellifera
151,Brassica napus
152,Brassica rapa
153,Caenorhabditis elegans
154,Callithrix jacchus
155,Canis lupus familiaris
156,Capra hircus
157,Citrus sinensis
158,Cucumis melo
159,Danio rerio
160,Drosophila melanogaster
161,Felis catus
162,Gossypium hirsutum
163,Hordeum vulgare
164,Manihot esculenta
165,Gossypium hirsutum
166,Lentinula edodes
167,Felis catus
168,Brassica napus
169,Brassica rapa
170,Callithrix jacchus
171,Citrus sinensis
172,Cucumis melo
173,Gossypium hirsutum
174,Lentinula edodes
175,Anopheles gambiae
176,Apis mellifera
177,Arachis hypogaea
178,Brassica napus
179,Brassica rapa
180,Callithrix jacchus
181,Citrus sinensis
182,Cucumis melo
183,Ictalurus punctatus
184,Manihot esculenta
185,Sus scrofa
186,Drosophila melanogaster
187,Gallus gallus
188,Glycine max
189,Gossypium hirsutum
190,Hordeum vulgare
191,Ictalurus punctatus
192,Lentinula edodes
193,Manihot esculenta
194,Mesocricetus auratus
195,Nicotiana tabacum
196,Oryctolagus cuniculus
197,Oryza sativa
198,Ovis aries
199,Rattus norvegicus
200,Solanum lycopersicum
201,Solanum tuberosum
202,Felis catus
203,Danio rerio
204,Oryctolagus cuniculus
205,Cucumis melo
206,Triticum aestivum
207,Xenopus tropicalis
208,Apis mellifera
209,Apis mellifera
210,Arabidopsis thaliana
211,Arachis hypogaea
212,Bombyx mori
213,Bos taurus
214,Brassica napus
215,Brassica rapa
216,Caenorhabditis elegans
217,Callithrix jacchus
218,Canis lupus familiaris
219,Capra hircus
220,Citrus sinensis
221,Xenopus tropicalis
